id;clause;situation
44;{b,k}[!notifyDelivery*]({k,s}PROHIBITION(payProduct)_/F/_) AND {k,c}[!notifyShippingPayment*]({c,b}PROHIBITION(deliverProduct)_/F/_) AND {b,k}[payProduct]({k,s}[notifyProductPayment]({s,k}[payShippingCosts]({s,c}[sendProduct]({c,b}[deliverProduct]({c,s}[notifyProductDelivery]({s,k}[liberateShippingCosts]({k,c}OBLIGATION(payShippingCosts)_/F/_) AND {s,k}OBLIGATION(liberateShippingCosts)_/F/_) AND {b,k}[notifyProductReceipt]({k,c}OBLIGATION(payProduct)_/F/_) AND {c,s}OBLIGATION(notifyProductDelivery)_/F/_ AND {b,k}OBLIGATION(notifyProductReceipt)_/F/_) AND {c,b}OBLIGATION(deliverProduct)_/F/_) AND {k,c}OBLIGATION(notifyShippingPayment)_/F/_) AND {s,k}OBLIGATION(payShippingCosts)_/F/_ AND {s,c}OBLIGATION(sendProduct)_/F/_) AND {k,s}OBLIGATION(notifyProductPayment)_/F/_) AND {b,k}OBLIGATION(payProduct)_/F/_;conflictFree
45;{b,k}[!notifyDelivery*]({k,s}PROHIBITION(payProduct)_/F/_) AND {k,c}[!notifyShippingPayment*]({c,b}PROHIBITION(deliverProduct)_/F/_) AND {k,s}[notifyProductPayment]({s,k}[payShippingCosts]({s,c}[sendProduct]({c,b}[deliverProduct]({c,s}[notifyProductDelivery]({s,k}[liberateShippingCosts]({k,c}OBLIGATION(payShippingCosts)_/F/_) AND {s,k}OBLIGATION(liberateShippingCosts)_/F/_) AND {b,k}[notifyProductReceipt]({k,c}OBLIGATION(payProduct)_/F/_) AND {c,s}OBLIGATION(notifyProductDelivery)_/F/_ AND {b,k}OBLIGATION(notifyProductReceipt)_/F/_) AND {c,b}OBLIGATION(deliverProduct)_/F/_) AND {k,c}OBLIGATION(notifyShippingPayment)_/F/_) AND {s,k}OBLIGATION(payShippingCosts)_/F/_ AND {s,c}OBLIGATION(sendProduct)_/F/_) AND {k,s}OBLIGATION(notifyProductPayment)_/F/_;conflictFree
46;{b,k}[!notifyDelivery*]({k,s}PROHIBITION(payProduct)_/F/_) AND {k,c}[!notifyShippingPayment*]({c,b}PROHIBITION(deliverProduct)_/F/_) AND {s,k}[payShippingCosts]({s,c}[sendProduct]({c,b}[deliverProduct]({c,s}[notifyProductDelivery]({s,k}[liberateShippingCosts]({k,c}OBLIGATION(payShippingCosts)_/F/_) AND {s,k}OBLIGATION(liberateShippingCosts)_/F/_) AND {b,k}[notifyProductReceipt]({k,c}OBLIGATION(payProduct)_/F/_) AND {c,s}OBLIGATION(notifyProductDelivery)_/F/_ AND {b,k}OBLIGATION(notifyProductReceipt)_/F/_) AND {c,b}OBLIGATION(deliverProduct)_/F/_) AND {k,c}OBLIGATION(notifyShippingPayment)_/F/_) AND {s,k}OBLIGATION(payShippingCosts)_/F/_ AND {s,c}OBLIGATION(sendProduct)_/F/_;conflictFree
47;{b,k}[!notifyDelivery*]({k,s}PROHIBITION(payProduct)_/F/_) AND {k,c}[!notifyShippingPayment*]({c,b}PROHIBITION(deliverProduct)_/F/_) AND {s,c}[sendProduct]({c,b}[deliverProduct]({c,s}[notifyProductDelivery]({s,k}[liberateShippingCosts]({k,c}OBLIGATION(payShippingCosts)_/F/_) AND {s,k}OBLIGATION(liberateShippingCosts)_/F/_) AND {b,k}[notifyProductReceipt]({k,c}OBLIGATION(payProduct)_/F/_) AND {c,s}OBLIGATION(notifyProductDelivery)_/F/_ AND {b,k}OBLIGATION(notifyProductReceipt)_/F/_) AND {c,b}OBLIGATION(deliverProduct)_/F/_) AND {k,c}OBLIGATION(notifyShippingPayment)_/F/_;conflictFree
48;{k,c}[!notifyShippingPayment*]({c,b}PROHIBITION(deliverProduct)_/F/_);conflictFree
49;{b,k}[!notifyDelivery*]({k,s}PROHIBITION(payProduct)_/F/_) AND {s,k}[!liberateShippingCosts*]({k,c}PROHIBITION(payShippingCosts)_/F/_) AND {k,c}[!notifyShippingPayment*]({c,b}PROHIBITION(deliverProduct)_/F/_) AND {b,k}[payProduct]({k,s}[notifyProductPayment]({s,k}[payShippingCosts]({s,c}[sendProduct]({c,b}[deliverProduct]({c,s}[notifyProductDelivery]({s,k}[liberateShippingCosts]({k,c}OBLIGATION(payShippingCosts)_/F/_) AND {s,k}OBLIGATION(liberateShippingCosts)_/F/_) AND {b,k}[notifyProductReceipt]({k,c}OBLIGATION(payProduct)_/F/_) AND {c,s}OBLIGATION(notifyProductDelivery)_/F/_ AND {b,k}OBLIGATION(notifyProductReceipt)_/F/_) AND {c,b}OBLIGATION(deliverProduct)_/F/_) AND {k,c}OBLIGATION(notifyShippingPayment)_/F/_) AND {s,k}OBLIGATION(payShippingCosts)_/F/_ AND {s,c}OBLIGATION(sendProduct)_/F/_) AND {k,s}OBLIGATION(notifyProductPayment)_/F/_) AND {b,k}OBLIGATION(payProduct)_/F/_;conflictFree
50;{b,k}[!notifyDelivery*]({k,s}PROHIBITION(payProduct)_/F/_) AND {s,k}[!liberateShippingCosts*]({k,c}PROHIBITION(payShippingCosts)_/F/_) AND {k,c}[!notifyShippingPayment*]({c,b}PROHIBITION(deliverProduct)_/F/_) AND {k,s}[notifyProductPayment]({s,k}[payShippingCosts]({s,c}[sendProduct]({c,b}[deliverProduct]({c,s}[notifyProductDelivery]({s,k}[liberateShippingCosts]({k,c}OBLIGATION(payShippingCosts)_/F/_) AND {s,k}OBLIGATION(liberateShippingCosts)_/F/_) AND {b,k}[notifyProductReceipt]({k,c}OBLIGATION(payProduct)_/F/_) AND {c,s}OBLIGATION(notifyProductDelivery)_/F/_ AND {b,k}OBLIGATION(notifyProductReceipt)_/F/_) AND {c,b}OBLIGATION(deliverProduct)_/F/_) AND {k,c}OBLIGATION(notifyShippingPayment)_/F/_) AND {s,k}OBLIGATION(payShippingCosts)_/F/_ AND {s,c}OBLIGATION(sendProduct)_/F/_) AND {k,s}OBLIGATION(notifyProductPayment)_/F/_;conflictFree
51;{b,k}[!notifyDelivery*]({k,s}PROHIBITION(payProduct)_/F/_) AND {s,k}[!liberateShippingCosts*]({k,c}PROHIBITION(payShippingCosts)_/F/_) AND {k,c}[!notifyShippingPayment*]({c,b}PROHIBITION(deliverProduct)_/F/_) AND {s,k}[payShippingCosts]({s,c}[sendProduct]({c,b}[deliverProduct]({c,s}[notifyProductDelivery]({s,k}[liberateShippingCosts]({k,c}OBLIGATION(payShippingCosts)_/F/_) AND {s,k}OBLIGATION(liberateShippingCosts)_/F/_) AND {b,k}[notifyProductReceipt]({k,c}OBLIGATION(payProduct)_/F/_) AND {c,s}OBLIGATION(notifyProductDelivery)_/F/_ AND {b,k}OBLIGATION(notifyProductReceipt)_/F/_) AND {c,b}OBLIGATION(deliverProduct)_/F/_) AND {k,c}OBLIGATION(notifyShippingPayment)_/F/_) AND {s,k}OBLIGATION(payShippingCosts)_/F/_ AND {s,c}OBLIGATION(sendProduct)_/F/_;conflictFree
52;{b,k}[!notifyDelivery*]({k,s}PROHIBITION(payProduct)_/F/_) AND {s,k}[!liberateShippingCosts*]({k,c}PROHIBITION(payShippingCosts)_/F/_) AND {k,c}[!notifyShippingPayment*]({c,b}PROHIBITION(deliverProduct)_/F/_) AND {s,c}[sendProduct]({c,b}[deliverProduct]({c,s}[notifyProductDelivery]({s,k}[liberateShippingCosts]({k,c}OBLIGATION(payShippingCosts)_/F/_) AND {s,k}OBLIGATION(liberateShippingCosts)_/F/_) AND {b,k}[notifyProductReceipt]({k,c}OBLIGATION(payProduct)_/F/_) AND {c,s}OBLIGATION(notifyProductDelivery)_/F/_ AND {b,k}OBLIGATION(notifyProductReceipt)_/F/_) AND {c,b}OBLIGATION(deliverProduct)_/F/_) AND {k,c}OBLIGATION(notifyShippingPayment)_/F/_;conflictFree
53;{s,k}[!liberateShippingCosts*]({k,c}PROHIBITION(payShippingCosts)_/F/_) AND {k,c}[!notifyShippingPayment*]({c,b}PROHIBITION(deliverProduct)_/F/_);conflictFree
54;{b,k}[!notifyDelivery*]({k,s}PROHIBITION(payProduct)_/F/_) AND {k,c}[!notifyShippingPayment*]({c,b}PROHIBITION(deliverProduct)_/F/_);conflictFree

